event_id,timestamp,task,event_type,severity,num_records,image_id,annotated_path,elapsed_ms,explanation,action_hint
c0275673,2026-06-21T15:09:06,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_165,stream,2.94,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
bcef12e4,2026-06-21T15:09:07,detection,DETECTION_RESULT,WARNING,5,stream_1782029331779_180,stream,2.71,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
45e95845,2026-06-21T15:09:08,detection,DETECTION_RESULT,WARNING,5,d4cc4a88,data/captures/sample_d4cc4a88_detection.jpg,3.12,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
4609029c,2026-06-21T15:09:12,detection,DETECTION_RESULT,WARNING,2,3d46abba,data/captures/3d46abba_detection.jpg,2.16,detection produced 2 record(s).,Display result on dashboard and review quality before using for automatic control.
feb40326,2026-06-21T16:06:02,detection,DETECTION_RESULT,WARNING,3,cec6a464,data/captures/cec6a464_detection.jpg,56296.53,detection produced 3 record(s).,Display result on dashboard and review quality before using for automatic control.
b46d2c89,2026-06-21T16:06:02,detection,DETECTION_RESULT,WARNING,3,06dcac2d,data/captures/06dcac2d_detection.jpg,67.84,detection produced 3 record(s).,Display result on dashboard and review quality before using for automatic control.
82687f9e,2026-06-21T16:06:02,detection,DETECTION_RESULT,WARNING,3,a1c7432b,data/captures/a1c7432b_detection.jpg,75.21,detection produced 3 record(s).,Display result on dashboard and review quality before using for automatic control.
fe40f616,2026-06-21T16:06:02,detection,DETECTION_RESULT,WARNING,3,0bac391c,data/captures/0bac391c_detection.jpg,59.4,detection produced 3 record(s).,Display result on dashboard and review quality before using for automatic control.
4a20ab16,2026-06-21T16:06:02,detection,DETECTION_RESULT,NORMAL,0,711a7b75,data/captures/sample_711a7b75_detection.jpg,123.29,detection produced 0 record(s).,Display result on dashboard and review quality before using for automatic control.
08c9c62c,2026-06-21T16:11:54,detection,DETECTION_RESULT,WARNING,3,4c05c8d5,data/captures/4c05c8d5_detection.jpg,7320.98,detection produced 3 record(s).,Display result on dashboard and review quality before using for automatic control.
64eb9688,2026-06-21T16:31:22,detection,DETECTION_RESULT,WARNING,3,b9b72fbe,data/captures/b9b72fbe_detection.jpg,9088.29,detection produced 3 record(s).,Display result on dashboard and review quality before using for automatic control.
439a0aff,2026-06-21T16:40:37,ocr,OCR_RESULT,NORMAL,1,e9d8cdb1,data/captures/e9d8cdb1_ocr.jpg,1.16,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
