record_id,timestamp,task,image_id,annotated_path,elapsed_ms,record_json
ab174793,2026-06-21T15:06:59,detection,stream_1782029210157_180,stream,2.65,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
f0d4794f,2026-06-21T15:06:59,detection,stream_1782029210157_180,stream,2.65,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
4d14b134,2026-06-21T15:06:59,detection,stream_1782029210157_180,stream,2.65,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
5ab68837,2026-06-21T15:06:59,detection,stream_1782029210157_180,stream,2.65,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
343ff18e,2026-06-21T15:06:59,detection,stream_1782029210157_195,stream,2.96,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.409, ""bbox"": [152, 157, 278, 303], ""engine"": ""fallback_contour_detector""}"
a9dda26d,2026-06-21T15:06:59,detection,stream_1782029210157_195,stream,2.96,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.39, ""bbox"": [358, 198, 483, 323], ""engine"": ""fallback_contour_detector""}"
a8b372c8,2026-06-21T15:06:59,detection,stream_1782029210157_195,stream,2.96,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
6e86748c,2026-06-21T15:06:59,detection,stream_1782029210157_195,stream,2.96,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
be650bb0,2026-06-21T15:06:59,detection,stream_1782029210157_195,stream,2.96,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
c3fffe56,2026-06-21T15:07:00,detection,stream_1782029210157_210,stream,2.96,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.434, ""bbox"": [287, 157, 483, 323], ""engine"": ""fallback_contour_detector""}"
b1794ebb,2026-06-21T15:07:00,detection,stream_1782029210157_210,stream,2.96,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
f3705961,2026-06-21T15:07:00,detection,stream_1782029210157_210,stream,2.96,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
7f609314,2026-06-21T15:07:00,detection,stream_1782029210157_210,stream,2.96,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
1af388b8,2026-06-21T15:07:00,detection,stream_1782029210157_210,stream,2.96,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
292e345a,2026-06-21T15:07:01,detection,stream_1782029210157_225,stream,4.56,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.432, ""bbox"": [358, 157, 548, 323], ""engine"": ""fallback_contour_detector""}"
bc3f134f,2026-06-21T15:07:01,detection,stream_1782029210157_225,stream,4.56,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
ea82b399,2026-06-21T15:07:01,detection,stream_1782029210157_225,stream,4.56,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
fbee2ce1,2026-06-21T15:07:01,detection,stream_1782029210157_225,stream,4.56,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
785a961d,2026-06-21T15:07:01,detection,stream_1782029210157_225,stream,4.56,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
1ffe21e8,2026-06-21T15:07:02,detection,stream_1782029210157_240,stream,3.08,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.409, ""bbox"": [137, 157, 263, 303], ""engine"": ""fallback_contour_detector""}"
59883624,2026-06-21T15:07:02,detection,stream_1782029210157_240,stream,3.08,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.39, ""bbox"": [358, 198, 483, 323], ""engine"": ""fallback_contour_detector""}"
4c8d3d71,2026-06-21T15:07:02,detection,stream_1782029210157_240,stream,3.08,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
71235a35,2026-06-21T15:07:02,detection,stream_1782029210157_240,stream,3.08,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
cb20d65b,2026-06-21T15:07:02,detection,stream_1782029210157_240,stream,3.08,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
720c7743,2026-06-21T15:07:02,detection,stream_1782029210157_255,stream,3.9,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.439, ""bbox"": [272, 157, 483, 323], ""engine"": ""fallback_contour_detector""}"
8e18ee75,2026-06-21T15:07:02,detection,stream_1782029210157_255,stream,3.9,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
d4828a4d,2026-06-21T15:07:02,detection,stream_1782029210157_255,stream,3.9,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
93164956,2026-06-21T15:07:02,detection,stream_1782029210157_255,stream,3.9,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
a589b0de,2026-06-21T15:07:02,detection,stream_1782029210157_255,stream,3.9,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
1e740fd7,2026-06-21T15:07:03,detection,stream_1782029210157_270,stream,2.61,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.427, ""bbox"": [358, 157, 533, 323], ""engine"": ""fallback_contour_detector""}"
28a12982,2026-06-21T15:07:03,detection,stream_1782029210157_270,stream,2.61,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
2bc09b77,2026-06-21T15:07:03,detection,stream_1782029210157_270,stream,2.61,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
42b2535c,2026-06-21T15:07:03,detection,stream_1782029210157_270,stream,2.61,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
47b6a732,2026-06-21T15:07:03,detection,stream_1782029210157_270,stream,2.61,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
8ab0eb9b,2026-06-21T15:07:04,detection,stream_1782029210157_285,stream,3.21,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.409, ""bbox"": [122, 157, 248, 303], ""engine"": ""fallback_contour_detector""}"
f5c1082f,2026-06-21T15:07:04,detection,stream_1782029210157_285,stream,3.21,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.39, ""bbox"": [358, 198, 483, 323], ""engine"": ""fallback_contour_detector""}"
cce21d76,2026-06-21T15:07:04,detection,stream_1782029210157_285,stream,3.21,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
5d1fd2d5,2026-06-21T15:07:04,detection,stream_1782029210157_285,stream,3.21,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
76bf821e,2026-06-21T15:07:04,detection,stream_1782029210157_285,stream,3.21,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
d000bdd7,2026-06-21T15:07:05,detection,stream_1782029210157_300,stream,2.89,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.444, ""bbox"": [257, 157, 483, 323], ""engine"": ""fallback_contour_detector""}"
345d4f06,2026-06-21T15:07:05,detection,stream_1782029210157_300,stream,2.89,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
a05c7285,2026-06-21T15:07:05,detection,stream_1782029210157_300,stream,2.89,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
abe17848,2026-06-21T15:07:05,detection,stream_1782029210157_300,stream,2.89,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
116535d0,2026-06-21T15:07:05,detection,stream_1782029210157_300,stream,2.89,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
903fd001,2026-06-21T15:07:05,detection,stream_1782029210157_315,stream,2.23,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.422, ""bbox"": [358, 157, 518, 323], ""engine"": ""fallback_contour_detector""}"
1aa41e0f,2026-06-21T15:07:05,detection,stream_1782029210157_315,stream,2.23,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
a5620c48,2026-06-21T15:07:05,detection,stream_1782029210157_315,stream,2.23,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
e227d848,2026-06-21T15:07:05,detection,stream_1782029210157_315,stream,2.23,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
5ec9d288,2026-06-21T15:07:05,detection,stream_1782029210157_315,stream,2.23,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
c2b4fc36,2026-06-21T15:07:06,detection,stream_1782029210157_330,stream,2.94,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.409, ""bbox"": [107, 157, 233, 303], ""engine"": ""fallback_contour_detector""}"
7e22eee1,2026-06-21T15:07:06,detection,stream_1782029210157_330,stream,2.94,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.39, ""bbox"": [358, 198, 483, 323], ""engine"": ""fallback_contour_detector""}"
7d47e6ae,2026-06-21T15:07:06,detection,stream_1782029210157_330,stream,2.94,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
4d229532,2026-06-21T15:07:06,detection,stream_1782029210157_330,stream,2.94,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
b1b90576,2026-06-21T15:07:06,detection,stream_1782029210157_330,stream,2.94,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
9c9e3f37,2026-06-21T15:07:06,detection,2c1ff1d0,data/captures/2c1ff1d0_detection.jpg,2.39,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.649, ""bbox"": [0, 110, 624, 343], ""engine"": ""fallback_contour_detector""}"
